Point 0: (array([-19.95504532]), array([-9.02148659]), array([0.29041977]))
Point 1: (array([-20.06494908]), array([-9.05995724]), array([0.29167772]))
Point 2: (array([-20.19056573]), array([-9.12624999]), array([0.2931411]))
Point 3: (array([-20.30302004]), array([-9.19321405]), array([0.29456379]))
Point 4: (array([-20.41820689]), array([-9.26074544]), array([0.29611799]))
Point 5: (array([-20.27256125]), array([-9.23116208]), array([0.29421492]))
Point 6: (array([-20.3937777]), array([-9.3142155]), array([0.29571822]))
Point 7: (array([-20.48698774]), array([-9.37093968]), array([0.29694479]))
Point 8: (array([-20.57369609]), array([-9.42212327]), array([0.29812818]))
Point 9: (array([-20.21966366]), array([-9.22490041]), array([0.29354997]))
Point 10: (array([-20.32257827]), array([-9.30953231]), array([0.29480878]))
Point 11: (array([-20.38553065]), array([-9.35917688]), array([0.2955595]))
Point 12: (array([-20.44372215]), array([-9.40245177]), array([0.2962833]))
Point 13: (array([-20.14991537]), array([-9.20159724]), array([0.29267989]))
Point 14: (array([-20.22766159]), array([-9.27252033]), array([0.29360145]))
Point 15: (array([-20.27159509]), array([-9.31237618]), array([0.29406741]))
Point 16: (array([-20.32265765]), array([-9.35155845]), array([0.29468083]))
Point 17: (array([-20.0632066]), array([-9.16237743]), array([0.29158837]))
Point 18: (array([-20.10513469]), array([-9.2082953]), array([0.2920358]))
Point 19: (array([-20.12830488]), array([-9.23394443]), array([0.29223991]))
Point 20: (array([-20.15937115]), array([-9.26071512]), array([0.29258341]))
